image_to_process;rgb_color;r;g;b;hex_color;actual_name;closest_name;closet_name_r;closet_name_g;closet_name_b
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2012-2013-home.jpg;(189, 4, 48);189;4;48;#bd0430;;firebrick;178;34;34
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2013-2014-away.jpg;(5, 11, 14);5;11;14;#050b0e;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2013-2014-home.jpg;(214, 4, 52);214;4;52;#d60434;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2014-2015-away.jpg;(15, 58, 106);15;58;106;#0f3a6a;;midnightblue;25;25;112
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2014-2015-home.jpg;(212, 5, 40);212;5;40;#d40528;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2015-2016-away.jpg;(125, 194, 71);125;194;71;#7dc247;;yellowgreen;154;205;50
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2015-2016-home.jpg;(197, 4, 53);197;4;53;#c50435;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2016-2017-away.jpg;(38, 39, 40);38;39;40;#262728;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2016-2017-home.jpg;(205, 15, 61);205;15;61;#cd0f3d;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2017-2018-away.jpg;(42, 57, 101);42;57;101;#2a3965;;darkslategrey;47;79;79
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2017-2018-home.jpg;(251, 251, 252);251;251;252;#fbfbfc;;snow;255;250;250
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2018-2019-away.jpg;(22, 19, 18);22;19;18;#161312;;black;0;0;0
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/ajax-2018-2019-home.jpg;(199, 3, 36);199;3;36;#c70324;;crimson;220;20;60
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/algeria-1982-home.jpg;(243, 245, 244);243;245;244;#f3f5f4;;whitesmoke;245;245;245
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/algeria-2002-2003-home.jpg;(208, 205, 192);208;205;192;#d0cdc0;;lightgrey;211;211;211
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/algeria-2003-2004-away.jpg;(59, 141, 52);59;141;52;#3b8d34;;forestgreen;34;139;34
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/algeria-2003-2004-home.jpg;(245, 245, 244);245;245;244;#f5f5f4;;whitesmoke;245;245;245
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/algeria-2008-2010-away.jpg;(107, 153, 63);107;153;63;#6b993f;;olivedrab;107;142;35
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/algeria-2008-2010-home.jpg;(239, 241, 245);239;241;245;#eff1f5;;whitesmoke;245;245;245
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/algeria-2010-2011-away.jpg;(132, 190, 120);132;190;120;#84be78;;darkseagreen;143;188;143
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/algeria-2010-2011-home.jpg;(244, 243, 243);244;243;243;#f4f3f3;;whitesmoke;245;245;245
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/algeria-2012-2013-away.jpg;(236, 238, 236);236;238;236;#eceeec;;whitesmoke;245;245;245
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/algeria-2012-2013-home.jpg;(246, 247, 249);246;247;249;#f6f7f9;;whitesmoke;245;245;245
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/algeria-2014-2015-away.jpg;(88, 204, 97);88;204;97;#58cc61;;mediumseagreen;60;179;113
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/algeria-2014-2015-home.jpg;(234, 234, 236);234;234;236;#eaeaec;;lavender;230;230;250
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alhilal-2010-2011-away.jpg;(235, 234, 239);235;234;239;#ebeaef;;lavender;230;230;250
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alhilal-2010-2011-home.jpg;(2, 78, 156);2;78;156;#024e9c;;teal;0;128;128
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alhilal-2012-2013-away.jpg;(161, 196, 219);161;196;219;#a1c4db;;lightsteelblue;176;196;222
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alhilal-2017-2018-home.jpg;(245, 246, 247);245;246;247;#f5f6f7;;whitesmoke;245;245;245
C:/Users/ochad/PycharmProjects/JerseyCrawl/subsidesport_jpg_260x260/alkmaar-2004-2005-away.jpg;(145, 179, 218);145;179;218;#91b3da;;skyblue;135;206;235
